epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.315,1.5963,2.24206,1.48556,0.82651,0.23229,0.37627,0.21517,1.55841,2.78802,1.42258,0.0670027,3.30303e-05,3.30303e-05
2,289.681,1.48951,1.68791,1.37074,0.68195,0.47025,0.53565,0.34208,1.3279,1.66279,1.29968,0.0337027,6.6363e-05,6.6363e-05
3,414.455,1.4069,1.56013,1.33315,0.74275,0.50142,0.58897,0.37244,1.27153,1.5217,1.25559,0.000402725,9.9695e-05,9.9695e-05
4,503.388,1.38848,1.44249,1.31525,0.67423,0.54527,0.59603,0.38255,1.26855,1.43064,1.22107,9.9997e-05,9.9997e-05,9.9997e-05
5,598.714,1.34411,1.38093,1.29121,0.76622,0.52125,0.61096,0.39319,1.26499,1.42676,1.24221,9.9996e-05,9.9996e-05,9.9996e-05
6,676.686,1.33435,1.33044,1.26973,0.69973,0.52691,0.60485,0.38472,1.25713,1.41428,1.21459,9.9995e-05,9.9995e-05,9.9995e-05
7,769.525,1.30196,1.27563,1.25073,0.76317,0.51275,0.6217,0.406,1.23966,1.42463,1.20246,9.99941e-05,9.99941e-05,9.99941e-05
8,853.849,1.30078,1.25745,1.24802,0.81409,0.54581,0.63083,0.41223,1.19836,1.36097,1.18404,9.99931e-05,9.99931e-05,9.99931e-05
9,931.976,1.29392,1.23248,1.2346,0.73213,0.58069,0.62758,0.415,1.2399,1.4246,1.18343,9.99921e-05,9.99921e-05,9.99921e-05
10,1015.1,1.27872,1.18711,1.2225,0.74284,0.55646,0.6304,0.4186,1.22308,1.29962,1.19149,9.99911e-05,9.99911e-05,9.99911e-05
11,1097.1,1.26776,1.19073,1.22865,0.77717,0.53541,0.65316,0.43947,1.24271,1.28015,1.19953,9.99901e-05,9.99901e-05,9.99901e-05
12,1177.44,1.24395,1.13354,1.2144,0.80902,0.58357,0.66409,0.45607,1.14795,1.20134,1.15641,9.99891e-05,9.99891e-05,9.99891e-05
13,1265.63,1.23922,1.12136,1.20823,0.7831,0.53184,0.63288,0.40944,1.23703,1.29476,1.20233,9.99881e-05,9.99881e-05,9.99881e-05
14,1351.22,1.21526,1.08611,1.1983,0.85394,0.54958,0.66418,0.46404,1.16068,1.21187,1.15968,9.99871e-05,9.99871e-05,9.99871e-05
15,1434.91,1.21912,1.05901,1.18532,0.83123,0.5302,0.66146,0.44348,1.18699,1.22507,1.18546,9.99861e-05,9.99861e-05,9.99861e-05
16,1523.61,1.22802,1.0702,1.19738,0.80187,0.57324,0.66316,0.43825,1.18583,1.22296,1.18022,9.99852e-05,9.99852e-05,9.99852e-05
17,1610.32,1.22944,1.04701,1.18626,0.78166,0.57224,0.65076,0.41473,1.21564,1.27401,1.18482,9.99842e-05,9.99842e-05,9.99842e-05
18,1683.82,1.20189,1.00209,1.17401,0.75461,0.58357,0.65855,0.44166,1.20266,1.24416,1.16678,9.99832e-05,9.99832e-05,9.99832e-05
19,1772.64,1.19417,0.99872,1.15763,0.78961,0.59207,0.65293,0.43369,1.25665,1.31264,1.19202,9.99822e-05,9.99822e-05,9.99822e-05
